num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,distrito_urls,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000038,2024-01-01T00:00:00Z,21:05:00,"AVDA. PLANETARIO, 36",36,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Alcance,NULL,Furgoneta,Conductor,Desconocido,Desconocido,NULL,NULL,441696.622,4471195.697,N,"NULL"
2024S000038,2024-01-01T00:00:00Z,21:05:00,"AVDA. PLANETARIO, 36",36,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Alcance,NULL,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,441696.622,4471195.697,N,"NULL"
2024S000039,2024-01-01T00:00:00Z,22:05:00,"AVDA. MENENDEZ PELAYO, 20",20,3,Retiro,https://www.wikidata.org/wiki/Q2002296,Colisión lateral,Despejado,Furgoneta,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,442360.904,4473140.67,N,"NULL"
2024S000039,2024-01-01T00:00:00Z,22:05:00,"AVDA. MENENDEZ PELAYO, 20",20,3,Retiro,https://www.wikidata.org/wiki/Q2002296,Colisión lateral,Despejado,Motocicleta hasta 125cc,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,442360.904,4473140.67,N,"NULL"
2024S000041,2024-01-01T00:00:00Z,23:30:00,AVDA. LOS ROSALES / CALL. CORINDON,19,12,Usera,https://www.wikidata.org/wiki/Q953368,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 40 a 44 años,Hombre,NULL,NULL,441384.888,4468726.005,N,"NULL"
2024S000041,2024-01-01T00:00:00Z,23:30:00,AVDA. LOS ROSALES / CALL. CORINDON,19,12,Usera,https://www.wikidata.org/wiki/Q953368,Alcance,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,NULL,NULL,441384.888,4468726.005,N,"NULL"
2024S000042,2024-01-01T00:00:00Z,22:55:00,"CALL. MENDEZ ALVARO, 16",16,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Atropello a persona,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,441302.198,4473059.789,N,"NULL"
2024S000042,2024-01-01T00:00:00Z,22:55:00,"CALL. MENDEZ ALVARO, 16",16,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Atropello a persona,Despejado,Turismo,Peatón,De 21 a 24 años,Mujer,NULL,NULL,441302.198,4473059.789,N,"NULL"
2024S000044,2024-01-01T00:00:00Z,23:35:00,"CALL. JOSE ORTEGA Y GASSET, 98",98,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Choque contra obstáculo fijo,Despejado,NULL,Conductor,Desconocido,Desconocido,NULL,NULL,443064.769,4475662.3,N,"NULL"
2024S000044,2024-01-01T00:00:00Z,23:35:00,"CALL. JOSE ORTEGA Y GASSET, 98",98,4,Salamanca,https://www.wikidata.org/wiki/Q1773521,Choque contra obstáculo fijo,Despejado,Todo terreno,Conductor,De 45 a 49 años,Mujer,NULL,NULL,443064.769,4475662.3,N,"NULL"
2024S000054,2024-01-01T00:00:00Z,11:10:00,"CALL. PAMPLONA, 15",15,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,Colisión lateral,Despejado,Furgoneta,Conductor,Desconocido,Desconocido,NULL,NULL,440234.173,4478376.188,N,"NULL"
2024S000054,2024-01-01T00:00:00Z,11:10:00,"CALL. PAMPLONA, 15",15,6,Tetuán,https://www.wikidata.org/wiki/Q1773540,Colisión lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,NULL,NULL,440234.173,4478376.188,N,"NULL"
2024S000070,2024-01-01T00:00:00Z,22:02:00,CALL. MARSELLA / CALL. ZURICH,29,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,Colisión fronto-lateral,Despejado,Otros vehículos sin motor,Conductor,De 21 a 24 años,Mujer,1,Atención en urgencias sin posterior ingreso,448269.717,4474626.41,N,"NULL"
2024S000070,2024-01-01T00:00:00Z,22:02:00,CALL. MARSELLA / CALL. ZURICH,29,20,San Blas-Canillejas,https://www.wikidata.org/wiki/Q2001937,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,448269.717,4474626.41,N,"NULL"
2024S000045,2024-02-01T00:00:00Z,6:20:00,CALL. JOSE VASCONCELOS / CALL. MAURICIO LEGENDRE,2,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,Colisión lateral,Despejado,Camión rígido,Conductor,De 45 a 49 años,Hombre,NULL,NULL,441829.203,4480261.003,N,"NULL"
2024S000045,2024-02-01T00:00:00Z,6:20:00,CALL. JOSE VASCONCELOS / CALL. MAURICIO LEGENDRE,2,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,Colisión lateral,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,441829.203,4480261.003,N,"NULL"
2024S000053,2024-02-01T00:00:00Z,7:30:00,CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS,24,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Atropello a persona,Nublado,Camión rígido,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,445775.097,4469683.604,N,"NULL"
2024S000053,2024-02-01T00:00:00Z,7:30:00,CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS,24,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Atropello a persona,Nublado,Camión rígido,Pasajero,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,445775.097,4469683.604,N,"NULL"
2024S000053,2024-02-01T00:00:00Z,7:30:00,CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS,24,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Atropello a persona,Nublado,Camión rígido,Pasajero,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,445775.097,4469683.604,N,"NULL"
2024S000053,2024-02-01T00:00:00Z,7:30:00,CALL. GONZALEZ DAVILA / CMNO. HORMIGUERAS,24,18,Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Atropello a persona,Nublado,Camión rígido,Peatón,De 50 a 54 años,Mujer,3,Ingreso superior a 24 horas,445775.097,4469683.604,N,"NULL"
2024S000055,2024-02-01T00:00:00Z,9:15:00,"PASEO. IMPERIAL, 20",20,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Despejado,Camión rígido,Conductor,De 65 a 69 años,Hombre,NULL,NULL,439146.537,4473244.982,N,"NULL"
2024S000055,2024-02-01T00:00:00Z,9:15:00,"PASEO. IMPERIAL, 20",20,2,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,NULL,NULL,439146.537,4473244.982,N,"NULL"
2024S000056,2024-02-01T00:00:00Z,7:54:00,"AEROP. TERMINAL T-4, LLEGADAS, LINEA DE TAXIS",0,21,Barajas,https://www.wikidata.org/wiki/Q807230,Atropello a persona,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,449848.973,4482595.779,N,"NULL"
2024S000056,2024-02-01T00:00:00Z,7:54:00,"AEROP. TERMINAL T-4, LLEGADAS, LINEA DE TAXIS",0,21,Barajas,https://www.wikidata.org/wiki/Q807230,Atropello a persona,Despejado,Turismo,Peatón,De 60 a 64 años,Hombre,1,Atención en urgencias sin posterior ingreso,449848.973,4482595.779,N,"NULL"
2024S000057,2024-02-01T00:00:00Z,9:20:00,"PASEO. EXTREMADURA, 302",302,10,Latina,https://www.wikidata.org/wiki/Q794954,Colisión fronto-lateral,Nublado,Turismo,Conductor,De 21 a 24 años,Mujer,2,Ingreso inferior o igual a 24 horas,435233.897,4472479.716,N,"NULL"
